,trade_date,open,high,low,close,change,vol,amount
0,20191211,15.38,15.68,15.3,15.66,0.33,871505.19,1351786.53
1,20191210,15.36,15.38,15.25,15.33,-0.08,556383.88,851377.532
2,20191209,15.62,15.62,15.35,15.41,-0.19,605992.89,935135.952
3,20191206,15.47,15.72,15.46,15.6,0.17,712615.24,1109423.061
4,20191205,15.35,15.48,15.3,15.43,0.12,557084.46,857682.575
5,20191204,15.34,15.41,15.21,15.31,-0.14,524545.27,802110.334
6,20191203,15.3,15.46,15.21,15.45,0.09,455418.05,700293.548
7,20191202,15.35,15.43,15.23,15.36,0.07,553877.38,849784.129
8,20191129,15.54,15.55,15.18,15.29,-0.2,653866.91,1001451.096
9,20191128,15.47,15.54,15.44,15.49,0.02,378016.51,585252.046
10,20191127,15.64,15.64,15.39,15.47,-0.15,476169.98,736584.294
11,20191126,15.89,15.89,15.49,15.62,-0.18,815297.53,1271594.662
12,20191125,15.64,15.84,15.54,15.8,0.21,783257.94,1233388.886
13,20191122,15.89,15.92,15.55,15.59,-0.27,773473.54,1216064.537
14,20191121,15.75,15.87,15.63,15.86,0.01,772563.24,1218516.399
15,20191120,16.3,16.3,15.77,15.85,-0.56,1724383.53,2747598.383
16,20191119,16.45,16.48,16.31,16.41,-0.04,562120.4,920998.203
17,20191118,16.35,16.55,16.23,16.45,0.11,557918.41,915983.935
18,20191115,16.39,16.55,16.24,16.34,0.02,569227.98,933539.572
19,20191114,16.43,16.48,16.25,16.32,-0.01,468899.55,767006.342
20,20191113,16.29,16.46,16.06,16.33,0.0,655120.65,1067975.601
21,20191112,16.29,16.37,16.16,16.33,0.05,516266.4,840769.286
22,20191111,16.5,16.53,16.2,16.28,-0.37,953515.63,1556517.253
23,20191108,16.98,17.02,16.64,16.65,-0.24,849139.24,1421088.326
24,20191107,16.93,17.07,16.75,16.89,-0.07,711896.99,1200671.649
25,20191106,17.06,17.26,16.88,16.96,-0.19,863325.36,1470233.502
26,20191105,16.8,17.44,16.79,17.15,0.23,1172485.89,2010924.199
27,20191104,16.98,17.25,16.77,16.92,0.06,889824.25,1507910.818
28,20191101,16.35,17.0,16.28,16.86,0.6,1254655.44,2096068.96
29,20191031,16.42,16.47,16.24,16.26,-0.17,862569.3,1407006.434
